protein,pathway
P25116,hsa04611
P25116,hsa04810
P25116,hsa05130
P25116,hsa05200
P25963,hsa04024
P25963,hsa04062
P25963,hsa04064
P25963,hsa04210
P25963,hsa04380
P25963,hsa04519
P25963,hsa04620
P25963,hsa04621
P25963,hsa04622
P25963,hsa04623
P25963,hsa04625
P25963,hsa04657
P25963,hsa04658
P25963,hsa04659
P25963,hsa04660
P25963,hsa04662
P25963,hsa04668
P25963,hsa04722
P25963,hsa04920
P25963,hsa04926
P25963,hsa04931
P25963,hsa04936
P25963,hsa05120
P25963,hsa05130
P25963,hsa05131
P25963,hsa05132
P25963,hsa05134
P25963,hsa05135
P25963,hsa05140
P25963,hsa05142
P25963,hsa05145
P25963,hsa05160
P25963,hsa05161
P25963,hsa05162
P25963,hsa05163
P25963,hsa05164
P25963,hsa05166
P25963,hsa05167
P25963,hsa05168
P25963,hsa05169
P25963,hsa05170
P25963,hsa05171
P25963,hsa05200
P25963,hsa05203
P25963,hsa05208
P25963,hsa05215
P25963,hsa05220
P25963,hsa05222
P25963,hsa05235
P25963,hsa05417
P27338,hsa00260
P27338,hsa00330
P27338,hsa00340
P27338,hsa00350
P27338,hsa00360
P27338,hsa00380
P27338,hsa00982
P27338,hsa01100
P27338,hsa04726
P27338,hsa04728
P27338,hsa05012
P27338,hsa05030
P27338,hsa05031
P27338,hsa05034
P27487,hsa03272
P27487,hsa04974
P27815,hsa00230
P27815,hsa01100
P27815,hsa04024
P27815,hsa04928
P27815,hsa05032
P28221,hsa04024
P28221,hsa04080
P28221,hsa04082
P28221,hsa04726
P28221,hsa04742
P28222,hsa04024
P28222,hsa04080
P28222,hsa04082
P28222,hsa04726
P28222,hsa04742
P28223,hsa04020
P28223,hsa04080
P28223,hsa04082
P28223,hsa04540
P28223,hsa04726
P28223,hsa04750
P28335,hsa04020
P28335,hsa04080
P28335,hsa04082
P28335,hsa04540
P28335,hsa04726
P28335,hsa04750
P29466,hsa04148
P29466,hsa04217
P29466,hsa04613
P29466,hsa04621
P29466,hsa04623
P29466,hsa04625
P29466,hsa05014
P29466,hsa05130
P29466,hsa05131
P29466,hsa05132
P29466,hsa05133
P29466,hsa05134
P29466,hsa05135
P29466,hsa05164
P29466,hsa05171
P29466,hsa05417
P30556,hsa04020
P30556,hsa04022
P30556,hsa04072
P30556,hsa04080
P30556,hsa04081
P30556,hsa04261
P30556,hsa04270
P30556,hsa04371
P30556,hsa04614
P30556,hsa04924
P30556,hsa04925
P30556,hsa04927
P30556,hsa04933
P30556,hsa04934
P30556,hsa05171
P30556,hsa05200
P30556,hsa05415
P33260,hsa00830
P33260,hsa01100
P33260,hsa04726
P33260,hsa05204
P33261,hsa00590
P33261,hsa00591
P33261,hsa00982
P33261,hsa01100
P33261,hsa04726
P33261,hsa05204
P34969,hsa04014
P34969,hsa04020
P34969,hsa04080
P34969,hsa04082
P34969,hsa04726
P35348,hsa04020
P35348,hsa04022
P35348,hsa04080
P35348,hsa04081
P35348,hsa04082
P35348,hsa04152
P35348,hsa04261
P35348,hsa04270
P35348,hsa04970
P35354,hsa00590
P35354,hsa01100
P35354,hsa04064
P35354,hsa04148
P35354,hsa04370
P35354,hsa04625
P35354,hsa04657
P35354,hsa04668
P35354,hsa04723
P35354,hsa04726
P35354,hsa04913
P35354,hsa04921
P35354,hsa04923
P35354,hsa05010
P35354,hsa05022
P35354,hsa05140
P35354,hsa05163
P35354,hsa05165
P35354,hsa05167
P35354,hsa05200
P35354,hsa05204
P35354,hsa05206
P35354,hsa05222
P35367,hsa04020
P35367,hsa04080
P35367,hsa04082
P35367,hsa04750
P35368,hsa04020
P35368,hsa04022
P35368,hsa04080
P35368,hsa04081
P35368,hsa04082
P35368,hsa04261
P35368,hsa04270
P35368,hsa04970
P35462,hsa04080
P35462,hsa04081
P35462,hsa04082
P35462,hsa04728
P35503,hsa00040
P35503,hsa00053
P35503,hsa00140
P35503,hsa00830
P35503,hsa00860
P35503,hsa00980
P35503,hsa00982
P35503,hsa00983
P35503,hsa01100
P35503,hsa01240
P35503,hsa04976
P35503,hsa05204
P35503,hsa05207
P35610,hsa00100
P35610,hsa04979
P35869,hsa04659
P35869,hsa04934
P35869,hsa05207
P35869,hsa05208
P37231,hsa03320
P37231,hsa04148
P37231,hsa04152
P37231,hsa04211
P37231,hsa04380
P37231,hsa04714
P37231,hsa04932
P37231,hsa05016
P37231,hsa05200
P37231,hsa05202
P37231,hsa05216
P37231,hsa05417
P40261,hsa00760
P40261,hsa01100
P41595,hsa04020
P41595,hsa04080
P41595,hsa04082
P41595,hsa04540
P41595,hsa04726
P41595,hsa04750
P42330,hsa00140
P42330,hsa00590
P42330,hsa00790
P42330,hsa01100
