protein,go_term
P08473,GO:0006508
P08473,GO:0006518
P08473,GO:0007611
P08473,GO:0008021
P08473,GO:0008238
P08473,GO:0008270
P08473,GO:0009986
P08473,GO:0010814
P08473,GO:0010815
P08473,GO:0016020
P08473,GO:0016485
P08473,GO:0019233
P08473,GO:0030163
P08473,GO:0030324
P08473,GO:0030424
P08473,GO:0030425
P08473,GO:0030667
P08473,GO:0031410
P08473,GO:0042277
P08473,GO:0042447
P08473,GO:0042803
P08473,GO:0043025
P08473,GO:0043627
P08473,GO:0044306
P08473,GO:0045121
P08473,GO:0045202
P08473,GO:0046449
P08473,GO:0050435
P08473,GO:0050769
P08473,GO:0061837
P08473,GO:0070012
P08473,GO:0070062
P08473,GO:0071345
P08473,GO:0071492
P08473,GO:0071493
P08473,GO:0090399
P08473,GO:0097242
P08473,GO:0098793
P08473,GO:0150094
P08473,GO:1900273
P08473,GO:1901612
O00763,GO:0003989
O00763,GO:0005524
O00763,GO:0005634
O00763,GO:0005739
O00763,GO:0005741
O00763,GO:0005829
O00763,GO:0006084
O00763,GO:0006633
O00763,GO:0010884
O00763,GO:0010906
O00763,GO:0031667
O00763,GO:0031999
O00763,GO:0042802
O00763,GO:0046872
O00763,GO:0051289
O00763,GO:0055089
O00763,GO:0060421
O00763,GO:0097009
O00763,GO:2001295
O75795,GO:0005789
O75795,GO:0006805
O75795,GO:0008202
O75795,GO:0008210
O75795,GO:0015020
O75795,GO:0016020
P00915,GO:0004064
P00915,GO:0004089
P00915,GO:0005737
P00915,GO:0005829
P00915,GO:0008270
P00915,GO:0009750
P00915,GO:0016836
P00915,GO:0018820
P00915,GO:0070062
P01008,GO:0002020
P01008,GO:0004867
P01008,GO:0005576
P01008,GO:0005615
P01008,GO:0005788
P01008,GO:0005886
P01008,GO:0007596
P01008,GO:0008201
P01008,GO:0030193
P01008,GO:0031012
P01008,GO:0042802
P01008,GO:0070062
P01008,GO:0072562
P02585,GO:0003009
P02585,GO:0005509
P02585,GO:0005829
P02585,GO:0005861
P02585,GO:0006937
P02763,GO:0002682
P02763,GO:0005576
P02763,GO:0005615
P02763,GO:0006953
P02763,GO:0006954
P02763,GO:0031093
P02763,GO:0032715
P02763,GO:0032720
P02763,GO:0032731
P02763,GO:0032732
P02763,GO:0032760
P02763,GO:0035580
P02763,GO:0070062
P02763,GO:0072562
P02763,GO:1904724
P04746,GO:0004556
P04746,GO:0005509
P04746,GO:0005576
P04746,GO:0005615
P04746,GO:0005975
P04746,GO:0016052
P04746,GO:0031404
P04746,GO:0044245
P04746,GO:0070062
P04798,GO:0001666
P04798,GO:0001676
P04798,GO:0002933
P04798,GO:0004497
P04798,GO:0005506
P04798,GO:0005739
P04798,GO:0005743
P04798,GO:0005789
P04798,GO:0006631
P04798,GO:0006694
P04798,GO:0006706
P04798,GO:0006778
P04798,GO:0006805
P04798,GO:0008202
P04798,GO:0008210
P04798,GO:0008391
P04798,GO:0008395
P04798,GO:0009404
P04798,GO:0009624
P04798,GO:0009635
P04798,GO:0009692
P04798,GO:0009804
P04798,GO:0009812
P04798,GO:0010041
P04798,GO:0016491
P04798,GO:0016679
P04798,GO:0016711
P04798,GO:0016712
P04798,GO:0017143
P04798,GO:0019341
P04798,GO:0019373
P04798,GO:0019825
P04798,GO:0019899
P04798,GO:0020037
P04798,GO:0030544
P04798,GO:0032094
P04798,GO:0032451
P04798,GO:0032496
P04798,GO:0033189
P04798,GO:0033595
P04798,GO:0035902
P04798,GO:0042178
P04798,GO:0042359
P04798,GO:0042572
P04798,GO:0042759
P04798,GO:0042904
P04798,GO:0043010
P04798,GO:0046209
P04798,GO:0046685
P04798,GO:0048565
P04798,GO:0048771
P04798,GO:0051879
P04798,GO:0055093
P04798,GO:0060137
P04798,GO:0070365
P04798,GO:0070576
P04798,GO:0071280
P04798,GO:0097267
P04798,GO:0101020
P04798,GO:0101021
P04798,GO:0102033
P04798,GO:0106256
P04798,GO:0120319
P04798,GO:1900087
P04798,GO:1901497
P04798,GO:1904010
P04798,GO:1904612
P04798,GO:1904681
P07550,GO:0001540
P07550,GO:0002025
P07550,GO:0004941
P07550,GO:0005634
P07550,GO:0005764
P07550,GO:0005768
P07550,GO:0005794
P07550,GO:0005886
P07550,GO:0006898
P07550,GO:0006940
P07550,GO:0007166
P07550,GO:0007188
P07550,GO:0008179
P07550,GO:0008333
P07550,GO:0010008
P07550,GO:0010666
P07550,GO:0010667
P07550,GO:0015459
P07550,GO:0016020
P07550,GO:0016324
P07550,GO:0030669
P07550,GO:0042802
P07550,GO:0042803
P07550,GO:0043235
P07550,GO:0043410
P07550,GO:0044877
P07550,GO:0045744
P07550,GO:0051380
P07550,GO:0061885
P07550,GO:0071875
P07550,GO:0071880
P07550,GO:0071881
P07550,GO:0098990
P07550,GO:0098992
P07550,GO:0106134
P07550,GO:0120162
P07550,GO:1900451
P07550,GO:1901098
P07550,GO:1904504
P07550,GO:1904646
P07550,GO:1990911
P08514,GO:0001525
P08514,GO:0002687
P08514,GO:0005886
P08514,GO:0005925
P08514,GO:0007160
P08514,GO:0007229
P08514,GO:0009897
P08514,GO:0009986
P08514,GO:0031092
P08514,GO:0033631
P08514,GO:0034113
P08514,GO:0038023
P08514,GO:0042802
P08514,GO:0046872
P08514,GO:0050840
P08514,GO:0060090
P08514,GO:0070051
P08514,GO:0070062
P08514,GO:0070442
P08514,GO:0072562
P08514,GO:0098609
O60488,GO:0001676
O60488,GO:0004467
O60488,GO:0005524
O60488,GO:0005737
O60488,GO:0005739
O60488,GO:0005741
O60488,GO:0005783
O60488,GO:0005789
O60488,GO:0005811
O60488,GO:0005886
O60488,GO:0006629
O60488,GO:0006631
O60488,GO:0006633
O60488,GO:0008610
O60488,GO:0016020
O60488,GO:0030182
O60488,GO:0030307
O60488,GO:0031957
O60488,GO:0032024
O60488,GO:0032307
O60488,GO:0035336
O60488,GO:0035338
O60488,GO:0044233
O60488,GO:0047676
O60488,GO:0070062
O60488,GO:0090433
O60488,GO:0160020
P00734,GO:0001530
P00734,GO:0004252
P00734,GO:0005102
P00734,GO:0005509
P00734,GO:0005576
P00734,GO:0005615
P00734,GO:0005788
P00734,GO:0005796
P00734,GO:0005886
P00734,GO:0006508
P00734,GO:0006953
P00734,GO:0007166
P00734,GO:0007596
P00734,GO:0008083
P00734,GO:0008201
P00734,GO:0009611
P00734,GO:0010544
P00734,GO:0030168
P00734,GO:0030193
P00734,GO:0030194
P00734,GO:0030195
P00734,GO:0031012
P00734,GO:0032967
P00734,GO:0042730
P00734,GO:0045861
P00734,GO:0046427
